title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,top year,artist_type,pop
Turn Up the Music,Chris Brown,dance pop,2012,2020‑06‑22,130,84,59,-6,16,64,228,0,10,2012,Solo,69
Paradise,Coldplay,permanent wave,2011,2020‑06‑22,140,59,45,-7,8,21,279,5,3,2012,Band/Group,88
Princess of China,Coldplay,permanent wave,2011,2020‑06‑22,85,69,42,-6,29,24,239,0,3,2012,Band/Group,72
Turn Me On (feat. Nicki Minaj),David Guetta,big room,2011,2020‑06‑22,128,79,71,-2,57,41,200,5,6,2012,Solo,64
In The Dark,DEV,dance pop,2012,2020‑06‑22,125,82,74,-4,33,44,226,0,7,2012,Solo,62
Latch,Disclosure,edm,2013,2020‑06‑22,122,74,73,-5,9,54,256,2,9,2012,Duo,75
Hot Right Now - Edit,DJ Fresh,dancefloor dnb,2010,2020‑06‑22,175,96,51,-2,12,39,179,1,4,2012,Solo,41
Take Care,Drake,canadian hip hop,2011,2020‑06‑22,122,52,63,-10,9,30,277,3,27,2012,Solo,81
The Motto,Drake,canadian hip hop,2011,2020‑06‑22,202,44,77,-9,11,39,182,0,36,2012,Solo,79
Lights - Single Version,Ellie Goulding,dance pop,2010,2020‑06‑22,120,80,68,-6,13,78,211,3,4,2012,Solo,68
Good Feeling,Flo Rida,dance pop,2012,2020‑06‑22,128,89,71,-4,31,68,248,6,7,2012,Solo,81
Spectrum (Say My Name) - Calvin Harris Remix,Florence + The Machine,baroque pop,2012,2020‑06‑22,126,95,58,-4,10,59,218,0,5,2012,Band/Group,59
Lost,Frank Ocean,alternative r&b,2012,2020‑06‑22,123,60,91,-5,17,50,234,3,23,2012,Solo,91
Thinkin Bout You,Frank Ocean,alternative r&b,2012,2020‑06‑22,130,34,72,-11,10,20,201,41,5,2012,Solo,81
We Are Young (feat. Janelle Monáe),fun.,baroque pop,2012,2020‑06‑22,184,64,38,-6,8,74,251,2,8,2012,Band/Group,79
Some Nights,fun.,baroque pop,2012,2020‑06‑22,108,74,67,-7,9,39,277,2,5,2012,Band/Group,76
Somebody That I Used To Know,Gotye,australian pop,2011,2020‑06‑22,129,50,86,-7,10,72,245,59,4,2012,Solo,81
Oblivion,Grimes,art pop,2012,2020‑06‑22,156,53,70,-9,9,49,251,12,3,2012,Solo,71
Ass Back Home (feat. Neon Hitch),Gym Class Heroes,dance pop,2011,2020‑06‑22,130,84,72,-4,15,65,222,13,5,2012,Band/Group,67
I Love It (feat. Charli XCX),Icona Pop,candy pop,2013,2020‑06‑22,126,91,71,-3,15,82,157,1,3,2012,Duo,74
It's Time,Imagine Dragons,modern rock,2012,2020‑06‑22,105,88,66,-5,14,86,238,2,4,2012,Band/Group,72
On Top Of The World,Imagine Dragons,modern rock,2012,2020‑06‑22,100,93,64,-6,9,76,190,9,15,2012,Band/Group,72
Ni**as In Paris,JAY-Z,east coast hip hop,2011,2020‑06‑22,140,86,79,-6,35,78,219,13,31,2012,Solo,88
Boyfriend,Justin Bieber,canadian pop,2012,2020‑06‑22,97,55,72,-6,13,33,171,4,5,2012,Solo,68
Mercy,Kanye West,chicago rap,2012,2020‑06‑22,140,50,56,-9,17,43,329,7,41,2012,Solo,79
Brokenhearted,Karmin,dance pop,2012,2020‑06‑22,120,77,77,-3,5,89,227,1,6,2012,Duo,70
The One That Got Away,Katy Perry,dance pop,2012,2020‑06‑22,134,79,69,-4,20,86,227,0,4,2012,Solo,78
Part Of Me,Katy Perry,dance pop,2012,2020‑06‑22,130,92,68,-5,7,77,216,0,4,2012,Solo,78
Swimming Pools (Drank) - Extended Version,Kendrick Lamar,conscious hip hop,2012,2020‑06‑22,74,49,72,-8,60,26,314,12,40,2012,Solo,76
m.A.A.d city,Kendrick Lamar,conscious hip hop,2012,2020‑06‑22,91,73,49,-7,44,22,350,5,27,2012,Solo,73
Die Young,Kesha,dance pop,2012,2020‑06‑25,128,70,71,-5,22,80,212,0,5,2012,Solo,83
C'Mon,Kesha,dance pop,2012,2020‑06‑22,126,78,56,-5,10,29,214,1,10,2012,Solo,67
Ride,Lana Del Rey,art pop,2012,2020‑06‑22,94,69,37,-6,38,19,289,13,3,2012,Solo,64
Video Games,Lana Del Rey,art pop,2012,2020‑06‑22,122,25,39,-10,9,18,282,81,3,2012,Solo,63
Born To Die,Lana Del Rey,art pop,2012,2020‑06‑22,86,63,39,-7,20,40,286,20,4,2012,Solo,62
BURN IT DOWN,Linkin Park,alternative metal,2012,2020‑06‑22,110,97,59,-4,7,59,230,1,5,2012,Band/Group,79
Sexy And I Know It,LMFAO,dance pop,2011,2020‑06‑22,130,86,71,-4,19,80,199,10,32,2012,Duo,68
Battle Scars (with Guy Sebastian),Lupe Fiasco,chicago rap,2012,2020‑06‑22,168,81,52,-5,11,49,250,19,29,2012,Solo,74
Primadonna,MARINA,art pop,2012,2020‑06‑22,128,69,66,-3,9,43,221,9,3,2012,Solo,84
How to Be a Heartbreaker,MARINA,art pop,2012,2020‑06‑22,140,90,69,-5,11,85,221,1,5,2012,Solo,77
One More Night,Maroon 5,pop,2012,2020‑06‑22,93,82,72,-3,8,61,219,4,3,2012,Band/Group,74
Payphone,Maroon 5,pop,2012,2020‑06‑22,110,76,74,-5,37,52,231,1,4,2012,Band/Group,69
Adorn,Miguel,dance pop,2012,2020‑06‑22,179,58,63,-6,19,24,193,5,18,2012,Solo,72
Madness,Muse,modern rock,2012,2020‑06‑22,180,42,50,-8,11,22,281,13,7,2012,Band/Group,72
Everybody Talks,Neon Trees,modern alternative rock,2012,2020‑06‑22,155,92,47,-4,31,73,177,0,6,2012,Band/Group,85
Starships,Nicki Minaj,dance pop,2011,2020‑06‑22,125,72,75,-2,25,75,211,14,8,2012,Solo,78
Pound The Alarm,Nicki Minaj,dance pop,2012,2020‑06‑22,125,86,73,-4,2,59,206,4,6,2012,Solo,69
Dirty Paws,Of Monsters and Men,folk-pop,2012,2021‑08‑09,112,65,36,-7,6,13,278,11,3,2012,Band/Group,74
Troublemaker (feat. Flo Rida),Olly Murs,dance pop,2012,2020‑06‑22,106,86,76,-4,13,97,186,2,6,2012,Solo,80
What Makes You Beautiful,One Direction,boy band,2012,2020‑06‑22,125,79,73,-2,6,89,200,1,7,2012,Band/Group,88
Live While We're Young,One Direction,boy band,2012,2020‑06‑22,126,86,66,-2,14,93,200,5,5,2012,Band/Group,79
Million Voices - Radio Edit,Otto Knows,edm,2012,2020‑06‑22,126,89,58,-6,7,7,193,0,4,2012,Solo,75
Good Time,Owl City,indietronica,2012,2020‑06‑22,126,87,56,-4,37,68,206,2,14,2012,Band/Group,82
Blow Me (One Last Kiss),P!nk,dance pop,2012,2020‑06‑22,114,92,60,-3,28,73,256,0,4,2012,Solo,71
Take a Walk,Passion Pit,alternative dance,2012,2020‑06‑22,101,76,57,-6,32,45,264,3,4,2012,Band/Group,74
"Gone, Gone, Gone",Phillip Phillips,folk-pop,2013,2020‑06‑22,118,64,66,-6,11,50,210,13,4,2012,Solo,76
Home,Phillip Phillips,folk-pop,2013,2021‑08‑09,121,83,61,-6,12,32,210,3,3,2012,Solo,73
Gangnam Style (강남스타일),PSY,k-pop,2012,2020‑06‑22,132,94,73,-3,9,75,219,0,29,2012,Solo,77
We Found Love,Rihanna,barbadian pop,2011,2020‑06‑22,128,77,74,-4,11,60,215,3,4,2012,Solo,80
Where Have You Been,Rihanna,barbadian pop,2011,2020‑06‑22,128,85,72,-6,22,44,243,0,9,2012,Solo,76
R.I.P. (feat. Tinie Tempah),Rita Ora,dance pop,2012,2020‑06‑22,72,83,61,-3,65,35,228,3,5,2012,Solo,52
Mama Do The Hump,Rizzle Kicks,uk hip hop,2011,2020‑06‑22,98,89,72,-4,7,56,216,1,13,2012,Duo,61
Candy,Robbie Williams,dance pop,2012,2020‑06‑22,116,79,72,-7,7,88,201,4,4,2012,Solo,73
Feel the Love (feat. John Newman),Rudimental,dance pop,2013,2020‑06‑22,180,71,39,-7,69,24,245,0,6,2012,Band/Group,52
Hands on the Wheel (feat. Asap Rocky),ScHoolboy Q,gangster rap,2012,2020‑06‑22,128,78,65,-7,7,18,197,2,11,2012,Solo,67
Bangarang (feat. Sirah),Skrillex,brostep,2011,2020‑06‑29,110,97,72,-2,32,58,215,1,20,2012,Solo,75
"Young, Wild & Free (feat. Bruno Mars)",Snoop Dogg,g funk,2011,2020‑06‑22,95,66,72,-6,12,53,207,5,14,2012,Solo,82
Don't You Worry Child - Radio Edit,Swedish House Mafia,dance pop,2012,2020‑06‑22,129,84,61,-3,12,44,213,11,5,2012,Band/Group,81
I Knew You Were Trouble.,Taylor Swift,pop,2012,2020‑06‑22,77,47,62,-7,3,68,220,0,4,2012,Solo,82
We Are Never Ever Getting Back Together,Taylor Swift,pop,2012,2020‑06‑22,86,68,63,-6,12,75,193,1,9,2012,Solo,80
Ho Hey,The Lumineers,folk-pop,2012,2020‑06‑22,80,47,69,-9,9,35,163,79,3,2012,Band/Group,77
Chasing The Sun,The Wanted,boy band,2012,2020‑06‑22,128,73,64,-6,50,68,199,24,10,2012,Band/Group,74
Angels,The xx,downtempo,2012,2020‑06‑22,92,16,42,-18,10,34,172,95,4,2012,Band/Group,68
Drive By,Train,dance pop,2012,2020‑06‑22,122,84,77,-3,8,72,196,0,3,2012,Band/Group,82
50 Ways to Say Goodbye,Train,dance pop,2012,2020‑06‑22,140,94,59,-3,14,74,248,0,5,2012,Band/Group,73
Heart Attack,Trey Songz,dance pop,2012,2020‑06‑22,150,86,61,-5,23,48,233,6,13,2012,Solo,61
Rack City,Tyga,dance pop,2012,2020‑06‑22,99,34,93,-11,19,27,203,4,37,2012,Solo,67
Faded,Tyga,dance pop,2012,2020‑06‑22,95,67,83,-8,35,34,207,1,19,2012,Solo,63
Climax,Usher,atl hip hop,2012,2020‑06‑22,136,48,65,-9,16,33,233,55,8,2012,Solo,65
Anna Sun,WALK THE MOON,dance pop,2012,2021‑08‑09,140,84,47,-7,24,34,321,0,5,2012,Band/Group,68
"Work Hard, Play Hard",Wiz Khalifa,dance pop,2012,2020‑06‑22,140,67,79,-4,30,49,219,4,5,2012,Solo,67
We Own It (Fast & Furious),2 Chainz,atl hip hop,2013,2020‑06‑11,172,90,56,-5,5,56,228,5,40,2013,Solo,75
"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",A$AP Rocky,east coast hip hop,2013,2020‑06‑11,96,69,85,-7,11,66,234,2,28,2013,Solo,81
Why'd You Only Call Me When You're High?,Arctic Monkeys,garage rock,2013,2020‑06‑11,92,63,69,-6,10,80,161,5,4,2013,Band/Group,90
Do I Wanna Know?,Arctic Monkeys,garage rock,2013,2020‑06‑11,85,53,55,-8,22,41,272,19,3,2013,Band/Group,89
The Way,Ariana Grande,dance pop,2013,2020‑06‑11,82,88,65,-3,8,86,227,29,11,2013,Solo,71
Wake Me Up,Avicii,dance pop,2013,2020‑06‑11,124,78,53,-6,16,64,247,0,5,2013,Solo,89
I Could Be The One (Avicii Vs. Nicky Romero) - Radio Edit,Avicii,dance pop,2012,2020‑06‑11,128,79,51,-4,32,64,208,33,4,2013,Solo,73
Here's to Never Growing Up,Avril Lavigne,canadian pop,2013,2020‑06‑11,165,87,48,-3,41,74,214,1,9,2013,Solo,75
Sail,AWOLNATION,la indie,2011,2020‑06‑11,119,44,83,-10,10,27,259,44,6,2013,Band/Group,80
Harlem Shake,Baauer,bass trap,2013,2020‑06‑11,138,79,45,-5,42,28,197,1,5,2013,Solo,63
Pompeii,Bastille,metropopolis,2013,2020‑06‑11,127,72,68,-6,27,57,214,8,4,2013,Band/Group,80
Of The Night,Bastille,metropopolis,2013,2020‑06‑11,125,83,67,-7,9,35,214,2,4,2013,Band/Group,66
Get Up (Rattle),Bingo Players,big room,2013,2020‑06‑11,128,98,80,-3,26,80,167,2,7,2013,Duo,61
Sure Be Cool If You Did,Blake Shelton,contemporary country,2013,2020‑06‑11,137,73,58,-5,11,58,216,26,4,2013,Solo,61
Ready or Not,Bridgit Mendler,dance pop,2012,2020‑06‑11,93,87,72,-4,11,75,201,0,5,2013,Solo,77
Work Bitch,Britney Spears,dance pop,2013,2020‑06‑11,128,82,63,-7,7,85,248,16,16,2013,Solo,76
Locked out of Heaven,Bruno Mars,dance pop,2012,2020‑06‑11,144,70,73,-4,31,87,233,5,4,2013,Solo,91
When I Was Your Man,Bruno Mars,dance pop,2012,2020‑06‑11,73,28,61,-9,9,39,214,93,4,2013,Solo,89
Treasure,Bruno Mars,dance pop,2012,2020‑06‑11,116,69,87,-5,32,94,179,4,4,2013,Solo,83
Sweet Nothing (feat. Florence Welch),Calvin Harris,dance pop,2012,2020‑06‑11,128,93,57,-4,6,58,213,20,11,2013,Solo,76
I Need Your Love (feat. Ellie Goulding),Calvin Harris,dance pop,2012,2020‑06‑11,125,87,70,-5,24,58,235,41,5,2013,Solo,75
Thinking About You (feat. Ayah Marar),Calvin Harris,dance pop,2012,2020‑06‑11,128,87,73,-4,10,75,248,0,4,2013,Solo,71
Drinking from the Bottle (feat. Tinie Tempah),Calvin Harris,dance pop,2012,2020‑06‑11,128,89,67,-4,5,53,240,5,5,2013,Solo,67
Safe And Sound,Capital Cities,metropopolis,2013,2020‑06‑11,118,82,66,-5,10,77,193,0,3,2013,Duo,87
3005,Childish Gambino,atl hip hop,2013,2020‑06‑11,166,45,47,-7,9,64,234,11,33,2013,Solo,83
Fine China,Chris Brown,dance pop,2014,2020‑06‑11,104,73,65,-5,12,59,213,4,6,2013,Solo,66
The Mother We Share,CHVRCHES,electropop,2013,2020‑06‑11,174,69,46,-6,13,34,191,3,3,2013,Band/Group,61
Body Party,Ciara,dance pop,2013,2020‑06‑11,134,58,58,-6,60,12,234,1,6,2013,Solo,70
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,electro,2013,2020‑06‑11,116,81,79,-9,10,86,248,4,4,2013,Duo,88
Lose Yourself to Dance (feat. Pharrell Williams),Daft Punk,electro,2013,2020‑06‑11,100,66,83,-8,8,67,354,8,6,2013,Duo,74
Play Hard (feat. Ne-Yo & Akon),David Guetta,big room,2011,2020‑06‑11,130,92,69,-2,33,80,201,17,5,2013,Solo,65
Heart Attack,Demi Lovato,dance pop,2013,2020‑06‑11,174,79,50,-5,24,50,211,7,10,2013,Solo,85
White Noise,Disclosure,edm,2013,2020‑06‑11,120,85,68,-6,35,87,278,1,5,2013,Duo,54
"Hold On, We're Going Home",Drake,canadian hip hop,2013,2020‑06‑11,100,41,78,-7,7,29,228,0,9,2013,Solo,76
Started From the Bottom,Drake,canadian hip hop,2013,2020‑06‑11,86,52,79,-8,16,58,174,3,16,2013,Solo,71
Need U (100%) (feat. A*M*E) - Radio Edit,Duke Dumont,destroy techno,2013,2020‑06‑11,124,85,67,-5,39,46,174,0,5,2013,Solo,65
The Monster,Eminem,detroit hip hop,2013,2020‑06‑11,110,85,78,-4,12,62,250,5,7,2013,Solo,81
Berzerk,Eminem,detroit hip hop,2013,2020‑06‑11,95,87,74,-4,26,68,239,2,33,2013,Solo,72
My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,emo,2013,2020‑06‑11,152,92,56,-4,54,57,187,3,6,2013,Band/Group,77
I Cry,Flo Rida,dance pop,2012,2020‑06‑11,126,82,69,-5,32,76,224,1,4,2013,Solo,69
Cruise,Florida Georgia Line,contemporary country,2012,2020‑06‑11,148,95,46,-3,5,88,209,2,4,2013,Duo,63
I Love It (feat. Charli XCX),Icona Pop,candy pop,2013,2020‑06‑11,126,91,71,-3,15,82,157,1,3,2013,Duo,74
Demons,Imagine Dragons,modern rock,2012,2020‑06‑11,90,71,51,-3,33,43,175,19,3,2013,Band/Group,78
Radioactive,Imagine Dragons,modern rock,2012,2020‑06‑11,136,78,45,-4,67,24,187,11,6,2013,Band/Group,77
Power Trip (feat. Miguel),J. Cole,conscious hip hop,2013,2020‑06‑11,100,61,67,-7,43,48,241,32,22,2013,Solo,81
Talk Dirty (feat. 2 Chainz),Jason Derulo,dance pop,2013,2020‑06‑11,100,65,76,-7,31,76,178,3,23,2013,Solo,71
The Other Side,Jason Derulo,dance pop,2013,2020‑06‑11,128,84,56,-4,14,52,227,5,10,2013,Solo,66
Holy Grail,JAY-Z,east coast hip hop,2013,2020‑06‑11,145,53,68,-7,26,16,338,6,8,2013,Solo,68
Love Me Again,John Newman,dance pop,2013,2020‑06‑11,126,89,50,-5,10,21,240,0,4,2013,Solo,69
Beauty And A Beat,Justin Bieber,canadian pop,2012,2020‑06‑11,128,84,60,-5,7,53,228,0,6,2013,Solo,78
Mirrors,Justin Timberlake,dance pop,2013,2020‑06‑11,77,51,57,-7,9,51,484,23,5,2013,Solo,83
Suit & Tie (feat. Jay-Z),Justin Timberlake,dance pop,2013,2020‑06‑11,102,60,80,-4,16,36,326,10,22,2013,Solo,72
Black Skinhead,Kanye West,chicago rap,2013,2020‑06‑11,130,81,77,-6,17,33,188,0,28,2013,Solo,80
This Is How We Do,Katy Perry,dance pop,2013,2020‑06‑11,96,64,69,-6,15,80,204,2,5,2013,Solo,66
Sonnentanz - Sun Don't Shine,Klangkarussell,austrian pop,2013,2020‑06‑11,120,54,59,-8,11,17,236,11,9,2013,Duo,56
All I Want,Kodaline,irish pop,2013,2020‑06‑11,187,41,19,-10,8,16,306,17,5,2013,Band/Group,86
High Hopes,Kodaline,irish pop,2013,2020‑06‑11,77,49,49,-6,19,22,230,58,3,2013,Band/Group,73
Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey,art pop,2013,2020‑06‑11,126,81,57,-6,13,11,215,2,6,2013,Solo,78
Love Me,Lil Wayne,hip hop,2013,2020‑06‑11,125,63,67,-6,9,50,255,1,3,2013,Solo,73
Somewhere Only We Know,Lily Allen,dance pop,2014,2020‑06‑11,81,29,31,-11,10,29,209,93,3,2013,Solo,56
Royals,Lorde,art pop,2013,2020‑06‑11,85,43,67,-10,13,34,190,12,12,2013,Solo,83
Team,Lorde,art pop,2013,2020‑06‑11,100,58,69,-7,31,42,193,17,9,2013,Solo,82
Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,dance pop,2012,2020‑06‑11,146,92,64,-4,9,85,258,3,8,2013,Duo,87
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,dance pop,2012,2020‑06‑11,95,53,78,-7,5,67,236,6,29,2013,Duo,79
Same Love (feat. Mary Lambert),Macklemore & Ryan Lewis,dance pop,2012,2020‑06‑11,85,47,69,-9,10,30,319,72,17,2013,Duo,69
Daylight,Maroon 5,pop,2012,2020‑06‑11,120,68,66,-6,21,33,225,0,3,2013,Band/Group,66
Animals - Radio Edit,Martin Garrix,dance pop,2016,2020‑06‑11,128,91,59,-5,7,4,176,0,4,2013,Solo,64
It's a Beautiful Day,Michael Bublé,adult standards,2013,2020‑06‑11,144,80,53,-4,30,78,199,6,4,2013,Solo,71
We Can't Stop,Miley Cyrus,dance pop,2013,2020‑06‑11,80,62,61,-6,37,48,231,1,3,2013,Solo,83
I Will Wait,Mumford & Sons,modern folk rock,2012,2020‑06‑11,131,76,48,-5,31,45,277,1,3,2013,Band/Group,73
La La La,Naughty Boy,tropical house,2013,2020‑06‑11,125,68,75,-4,11,25,221,11,3,2013,Solo,63
Hey Porsche,Nelly,dance pop,2013,2020‑06‑11,116,79,73,-5,65,95,209,15,3,2013,Solo,49
Little Talks,Of Monsters and Men,folk-pop,2012,2020‑06‑11,103,76,46,-5,15,42,267,2,3,2013,Band/Group,85
Best Song Ever,One Direction,boy band,2013,2020‑06‑11,118,88,65,-3,8,49,200,2,5,2013,Band/Group,81
One Way or Another (Teenage Kicks),One Direction,boy band,2013,2020‑06‑11,162,87,49,-3,59,41,157,3,7,2013,Band/Group,71
True Love (feat. Lily Allen),P!nk,dance pop,2012,2021‑10‑19,192,82,46,-5,11,58,231,0,31,2013,Solo,76
Still into You,Paramore,candy pop,2013,2020‑06‑11,136,92,60,-4,6,77,216,1,4,2013,Band/Group,85
Ain't It Fun,Paramore,candy pop,2013,2020‑06‑25,104,89,61,-4,2,67,297,15,9,2013,Band/Group,78
Home,Phillip Phillips,folk-pop,2013,2020‑06‑11,121,83,61,-6,12,32,210,3,3,2013,Solo,73
Feel This Moment (feat. Christina Aguilera),Pitbull,dance pop,2012,2020‑06‑11,136,76,67,-4,34,54,230,4,16,2013,Solo,82
Don't Stop the Party (feat. TJR),Pitbull,dance pop,2012,2020‑06‑11,127,96,72,-4,38,95,206,1,9,2013,Solo,69
Blurred Lines,Robin Thicke,contemporary r&b,2013,2020‑06‑11,120,50,86,-8,8,88,263,0,5,2013,Solo,61
Waiting All Night (feat. Ella Eyre),Rudimental,dance pop,2013,2020‑06‑11,175,73,54,-5,43,28,293,0,5,2013,Solo,50
Reload - Radio Edit,Sebastian Ingrosso,dance pop,2013,2020‑06‑11,128,72,49,-5,6,43,221,7,5,2013,Solo,73
Come & Get It,Selena Gomez,dance pop,2013,2020‑06‑11,80,79,55,-4,8,57,232,1,5,2013,Solo,75
Look Right Through - MK Vocal Edit,Storm Queen,deep disco house,2013,2020‑06‑11,120,82,83,-8,28,51,148,0,8,2013,Solo,44
Papaoutai,Stromae,belgian pop,2013,2020‑06‑11,116,81,73,-7,6,25,232,3,8,2013,Solo,60
I Knew You Were Trouble.,Taylor Swift,pop,2012,2020‑06‑11,77,47,62,-7,3,68,220,0,4,2013,Solo,82
22,Taylor Swift,pop,2012,2020‑06‑11,104,73,66,-7,5,67,232,0,4,2013,Solo,74
Everything Has Changed,Taylor Swift,pop,2012,2020‑06‑11,80,46,62,-7,31,44,245,36,3,2013,Solo,71
Chocolate,The 1975,modern alternative rock,2013,2020‑06‑11,100,94,59,-4,38,68,225,0,5,2013,Band/Group,66
Ho Hey,The Lumineers,folk-pop,2012,2020‑06‑11,80,47,69,-9,9,35,163,79,3,2013,Band/Group,77
Sweater Weather,The Neighbourhood,modern alternative rock,2013,2020‑06‑11,124,81,61,-3,10,40,240,5,3,2013,Band/Group,95
What About Us,The Saturdays,bubblegum dance,2013,2020‑06‑11,124,68,70,-5,21,69,221,1,6,2013,Band/Group,67
Another Love,Tom Odell,chill pop,2013,2020‑06‑11,123,54,45,-9,9,13,244,70,4,2013,Solo,94
Bad (feat. Rihanna) - Remix,Wale,gangster rap,2013,2020‑06‑11,114,70,81,-7,11,45,239,31,7,2013,Solo,67
Scream & Shout,will.i.am,dance pop,2013,2020‑06‑11,130,69,77,-7,13,50,283,2,7,2013,Solo,83
#thatPOWER,will.i.am,dance pop,2013,2020‑06‑11,128,61,80,-6,7,40,280,0,6,2013,Solo,74
The Fox (What Does the Fox Say?),Ylvis,comic,2013,2020‑06‑11,128,87,70,-4,12,55,214,11,5,2013,Duo,68
Clarity,Zedd,complextro,2012,2020‑06‑11,128,78,51,-3,7,18,271,4,7,2013,Solo,80
She Looks So Perfect,5 Seconds of Summer,boy band,2014,2020‑06‑10,160,95,49,-4,33,44,202,0,13,2014,Band/Group,78
Amnesia,5 Seconds of Summer,boy band,2014,2020‑06‑10,102,50,57,-5,21,11,237,3,3,2014,Band/Group,71
Heroes (we could be),Alesso,dance pop,2014,2020‑06‑10,126,75,52,-4,24,35,210,4,6,2014,Solo,58
The Man,Aloe Blacc,pop soul,2014,2020‑06‑10,82,77,31,-7,21,49,255,3,7,2014,Solo,63
Best Day Of My Life,American Authors,indie poptimism,2014,2020‑06‑10,100,90,67,-2,6,54,194,6,3,2014,Band/Group,83
Love Me Harder,Ariana Grande,dance pop,2014,2020‑06‑10,99,71,47,-4,8,24,236,1,3,2014,Solo,80
Problem,Ariana Grande,dance pop,2014,2020‑06‑10,103,81,66,-5,16,63,194,2,15,2014,Solo,78
Break Free,Ariana Grande,dance pop,2014,2020‑06‑10,130,70,69,-5,20,28,215,1,5,2014,Solo,80
Hey Brother,Avicii,dance pop,2013,2020‑06‑10,125,78,55,-5,8,46,255,3,4,2014,Solo,82
Shower,Becky G,dance pop,2014,2020‑06‑10,120,53,70,-8,28,12,206,3,5,2014,Solo,83
Drunk in Love (feat. Jay-Z),Beyoncé,dance pop,2014,2020‑06‑10,140,62,59,-7,18,40,323,1,5,2014,Solo,75
Hot N*gga,Bobby Shmurda,nyc rap,2014,2020‑06‑10,168,51,79,-7,6,18,195,5,42,2014,Solo,78
Summer,Calvin Harris,dance pop,2014,2020‑06‑10,128,86,60,-4,14,74,223,2,3,2014,Solo,86
Blame (feat. John Newman),Calvin Harris,dance pop,2014,2020‑06‑10,128,86,41,-4,34,35,213,3,8,2014,Solo,81
Under Control (feat. Hurts),Calvin Harris,dance pop,2014,2020‑06‑10,126,92,54,-3,12,51,184,13,8,2014,Solo,77
Boom Clap,Charli XCX,art pop,2014,2020‑06‑10,92,91,66,-2,19,58,170,15,8,2014,Solo,54
Loyal (feat. Lil Wayne & Tyga),Chris Brown,dance pop,2014,2020‑06‑10,99,52,84,-6,19,62,265,2,5,2014,Solo,78
New Flame (feat. Usher & Rick Ross),Chris Brown,dance pop,2014,2020‑06‑10,142,63,70,-4,10,45,244,5,4,2014,Solo,73
Rather Be (feat. Jess Glynne),Clean Bandit,dance pop,2014,2020‑06‑10,121,59,80,-7,19,55,228,16,4,2014,Band/Group,77
First,Cold War Kids,alternative rock,2014,2020‑06‑10,78,69,47,-4,52,56,200,2,3,2014,Band/Group,71
Magic,Coldplay,permanent wave,2014,2020‑06‑10,93,48,74,-9,11,35,285,3,4,2014,Band/Group,78
A Sky Full of Stars,Coldplay,permanent wave,2014,2020‑06‑10,125,68,55,-6,21,16,268,1,3,2014,Band/Group,85
Bad (feat. Vassy) - Radio Edit,David Guetta,big room,2014,2020‑06‑10,128,97,61,-4,33,41,171,0,9,2014,Solo,56
Lovers on the Sun (feat. Sam Martin),David Guetta,big room,2014,2020‑06‑10,125,89,65,-3,38,57,204,9,4,2014,Solo,53
Latch,Disclosure,edm,2013,2020‑06‑10,122,74,73,-5,9,54,256,2,9,2014,Duo,75
Turn Down for What,DJ Snake,dance pop,2013,2020‑06‑10,100,80,82,-4,6,8,214,0,16,2014,Solo,76
You Know You Like It,DJ Snake,dance pop,2014,2020‑06‑10,196,73,41,-5,31,25,247,1,19,2014,Solo,75
I Got U,Duke Dumont,destroy techno,2014,2020‑06‑10,121,76,64,-8,9,46,286,0,4,2014,Solo,65
Cool Kids,Echosmith,dance pop,2013,2020‑06‑10,130,67,72,-6,12,79,238,4,3,2014,Band/Group,76
Don't,Ed Sheeran,pop,2014,2020‑06‑10,95,61,81,-7,64,85,220,1,7,2014,Solo,78
Sing,Ed Sheeran,pop,2014,2020‑06‑10,120,67,82,-4,6,94,235,30,5,2014,Solo,75
Ugly Heart,G.R.L.,dance pop,2014,2020‑06‑10,125,79,65,-5,32,45,198,2,5,2014,Band/Group,70
Budapest,George Ezra,folk-pop,2014,2020‑06‑10,128,46,72,-8,11,39,201,8,3,2014,Solo,83
Blame It on Me,George Ezra,folk-pop,2014,2021‑08‑09,104,76,54,-3,34,42,196,47,3,2014,Solo,73
Ready For Your Love,Gorgon City,deep groove house,2014,2020‑06‑10,122,75,68,-7,33,47,199,5,15,2014,Duo,51
Fancy,Iggy Azalea,australian hip hop,2014,2020‑06‑10,95,72,91,-4,5,38,200,9,7,2014,Solo,74
Black Widow,Iggy Azalea,australian hip hop,2014,2020‑06‑10,164,72,74,-4,11,52,209,19,12,2014,Solo,71
Talk Dirty (feat. 2 Chainz),Jason Derulo,dance pop,2013,2020‑06‑10,100,65,76,-7,31,76,178,3,23,2014,Solo,71
Wiggle (feat. Snoop Dogg),Jason Derulo,dance pop,2013,2020‑06‑10,82,62,70,-7,16,72,193,8,25,2014,Solo,63
Trumpets,Jason Derulo,dance pop,2013,2020‑06‑10,82,69,64,-5,10,64,217,56,26,2014,Solo,69
